SMILES,Tg
[*]#C[SiH2]C#Cc1cccc(C#[*])c1,72.0
[*]#Cc1cccc(C#C[SiH](C#[*])c2ccccc2)c1,85.0
[*]#Cc1ccccc1C#C[SiH](C#[*])c1ccccc1,71.0
[*]/C(=C(/[*])c1ccc(C(C)(C)C)cc1)c1ccccc1,200.0
[*]/C(=C(/[*])c1ccc(CCCC)cc1)c1ccccc1,200.0
[*]/C(=C(/[*])c1ccc(Oc2ccccc2)cc1)c1ccccc1,200.0
[*]/C(=C(/[*])c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,250.0
[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccccc1,200.0
[*]/C(=C(/[*])c1cccc([Ge](C)(C)C)c1)c1ccccc1,200.0
[*]/C(=C(/[*])c1cccc([Si](C)(C)C)c1)c1ccccc1,200.0
[*]/C(C#N)=C/c1cc(C=C(C#N)c2ccc3c(c2)C(CCCCCCCC)(CCCCCCCC)c2cc([*])ccc2-3)cc(N(c2ccccc2)c2ccccc2)c1,136.0
[*]/C(C)=C(/[*])CCC,200.0
[*]/C(C)=C(/[*])CCCCC,180.0
[*]/C(C)=C(/[*])CCCCCCC,160.0
[*]/C(C)=C(/[*])SCC,160.0
[*]/C(C)=C(/[*])SCCCCCC,110.0
[*]/C(C)=C(/[*])SCCCCCCCCCC,60.0
[*]/C(C)=C(/[*])[Ge](C)(C)C,250.0
[*]/C(C)=C(/[*])[Si](C)(C)C,75.0
[*]/C(C)=C(/[*])[Si](C)(C)CCCCCC,200.0
[*]/C(C)=C(/[*])[Si](C)(C)CC[Si](C)(C)C,200.0
[*]/C(C)=C(/[*])[Si](C)(C)C[Si](C)(C)C,200.0
[*]/C(C)=C(/[*])c1ccc([Si](C)(C)C)cc1,-5.0
[*]/C(CC)=C(/[*])c1ccccc1,200.0
[*]/C(CCCCCC)=C(/[*])c1ccccc1,200.0
[*]/C(Cl)=C(/[*])CCCC,190.0
[*]/C(Cl)=C(/[*])CCCCCC,150.0
[*]/C(Cl)=C(/[*])CCCCCCCC,90.0
[*]/C(Cl)=C(/[*])c1ccccc1,215.0
[*]/C=C(/[*])C(C)(C)C,200.0
[*]/C=C(/[*])C(CCC)[Si](C)(C)CCCCCC,40.0
[*]/C=C(/[*])C(CCC)[Si](C)(C)c1ccccc1,110.0
[*]/C=C(/[*])C(CCCCC)[Si](C)(C)C,170.0
[*]/C=C(/[*])C(CCCCCCC)[Si](C)(C)C,150.0
[*]/C=C(/[*])CCCOC(=O)c1cc(-c2ccc(OC)cc2)ccc1-c1ccc(OC)cc1,72.40000000000003
[*]/C=C(/[*])CCCOc1ccc(OC(=O)c2ccc(OC)cc2)cc1,20.0
[*]/C=C(/[*])CCCOc1ccc(OC(=O)c2ccc(OCCCC)cc2)cc1,36.0
[*]/C=C(/[*])CCCOc1ccc(OC(=O)c2ccc(OCCCCCCCC)cc2)cc1,42.0
[*]/C=C(/[*])c1c(C)cc(C(C)(C)C)cc1C,200.0
[*]/C=C(/[*])c1c(F)c(F)c(CCCC)c(F)c1F,110.0
[*]/C=C(/[*])c1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(C#C)cc5)c(=O)c4cc3c2=O)cc1,420.0
[*]/C=C(/[*])c1ccccc1C(F)(F)F,130.0
[*]/C=C(/[*])c1ccccc1C[Si](C)(C)C,170.0
[*]/C=C(/[*])c1ccccc1[Ge](C)(C)C,180.0
[*]/C=C(/[*])c1ccccc1[Si](C)(C)C,190.0
[*]/C=C/[*],-4.0
[*]=C(C#CC(=[*])COS(=O)(=O)c1ccc(C)cc1)COS(=O)(=O)c1ccc(C)cc1,-72.99999999999997
[*]=C(C#N)N1C(=O)c2ccc(C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(C(=[*])C#N)C5=O)cc3)cc2C1=O,249.0
[*]=C(C#N)NC(=O)c1ccc(C(=O)NC(=[*])C#N)cc1,232.0
[*]=C(C#N)c1ccc(C(=O)OC2CCN(C(=[*])c3ccc(OC)cc3)CC2)cc1,183.0
[*]=C(C#N)c1ccc(C(=O)OCC2CCCN(C(=[*])c3ccc(OC)cc3)C2)cc1,176.0
[*]=C(C#N)c1ccc(C(=O)OCCC2CCN(C(=[*])c3ccc(OC)cc3)CC2)cc1,167.0
[*]=C(C#N)n1c(=O)c2cc3c(=O)n(C(=[*])C#N)c(=O)c3cc2c1=O,210.0
[*]=C(C)CCC(=[*])C,4.0
[*]=C(CCC(=[*])c1ccccc1)c1ccccc1,120.5
[*]=C(Cl)CC(F)(F)C(=[*])F,-17.0
[*]=C(F)C(F)(F)C(F)(C(=[*])F)C(F)(F)F,-3.0
[*]=C(F)C(F)(F)ON(C(F)(F)F)C(F)(F)C(=[*])F,-7.0
[*]=C(OC)c1ccc(C(=[*])OC)s1,91.0
[*]=C([2H])C([2H])([2H])C([2H])([2H])C(=[*])C([2H])([2H])[2H],-57.99999999999997
[*]=C(c1ccc(Oc2ccccc2)cc1)c1ccc(C(=[*])c2ccc(Oc3ccccc3)cc2)cc1,163.0
[*]=C1C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c2cc(-c3ccc(-c4ccc(-c5ccc6c(c5)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C6=[*])s4)s3)ccc21,65.0
[*]=CC(=O)NCCCCCCCCCCNC(=O)C(=[*])C,74.0
[*]=CC(=O)NCCCCCCNC(=O)C(=[*])C,94.0
[*]=CC(=O)NCc1cccc(CNC(=O)C(=[*])C)c1,135.0
[*]=CC(C)CC(=[*])C,2.3000000000000114
[*]=CC(C)S(=O)(=O)CC(=[*])C,83.0
[*]=CC1CC(C=[*])C2C3CCC(C3)C12,207.40000000000003
[*]=CC1CCC(C=[*])C1,31.0
[*]=CCC(F)(F)C(=[*])F,-34.99999999999997
[*]=CCCC(=[*])C(C)(C)C,20.0
[*]=CCCC(=[*])C(C)C,-46.99999999999997
[*]=CCCC(=[*])CCCCCCC,-82.99999999999997
[*]=CCCC(=[*])CCCCCCCCCC,-52.99999999999997
[*]=CCCC(=[*])[Sn](CCCC)(CCCC)CCCC,-79.99999999999997
[*]=CCCC(=[*])c1ccccc1,39.5
[*]=CCCCC(=[*])c1ccc(Cl)cc1,16.0
[*]=CCCCC(=[*])c1ccc(OC)cc1,11.0
[*]=CCCCC(=[*])c1ccccc1,0.0
[*]=CCCCCCCC=[*],-77.99999999999997
[*]=CCCCCCCCCCCC=[*],-52.99999999999997
